spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:02I7RQInp67YBl1O3Tppfg,Unorthodox,Wretch 32,185373,4,2012-04-02,False
spotify:track:02ILwrgX3DDx9mclP2EI41,I'm Ready,AJR,227311,35,2014-03-25,False
spotify:track:02ITwC4ncYoPQp7bZnSkMh,White Noise Calm,Relaxatron,180623,67,2023-06-15,False
spotify:track:02K01fxmK5qQrwWSHGbb9d,KISS ME,DPR LIVE,278200,56,2020-03-03,True
spotify:track:02K1XeSDdjuwbO5Sj5R2nM,Put 'Em High - JJ Radio,StoneBridge,204802,34,2004,False
spotify:track:02LZ5CZfFniAsRXQKMda13,Who'll Stop The Rain,Creedence Clearwater Revival,147733,0,2000-01-01,False
spotify:track:02LrVIqBrR4MlUuX5jhXuk,Tired of Talking - Young Bombs Remix,LÉON,214453,20,2016-09-09,False
spotify:track:02M6vucOvmRfMxTXDUwRXu,7/11,Beyoncé,213506,70,2014-11-24,False
spotify:track:02M7L7vwVmzrRNq6gx9oxE,Remember Summer Days (Night Tempo Showa Groove Mix),Night Tempo,226909,45,2019-07-24,False
spotify:track:02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,238805,17,2020-08-06,False
spotify:track:02NKMA9cIkq6VuBNu9q9Wf,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,Alvin & The Chipmunks,141466,46,2010-01-01,False
spotify:track:02NuJokX5OKcF7ksvkJbnd,Family and Loyalty,Gang Starr,274680,52,2019-11-01,True
spotify:track:02OMusbzdY6INMjr205YHm,Don't Stop,Klyne,206245,0,2016-05-20,False
spotify:track:02OiUyGhIgBHQwwZO4fV6x,Strategy (Instrumental),TWICE,166773,38,2024-12-18,False
spotify:track:02QgGN6eJzlzzmzcW39dIj,Afterglow,Air Dubai,226666,0,2014-07-01,False
spotify:track:02Qo5DFgoGTiBGo4ZUvjXm,pete davidson,Ariana Grande,73813,28,2018-08-17,False
